(1,-0)
(0.426597,-0.904442)
(-0.969254,0.246062)
(0.878907,-0.476993)
(0.300406,0.953811)
(-0.321885,0.946779)
(0.168699,0.985668)
(0.974567,-0.224095)
(-0.987511,-0.15755)
(0.832253,-0.554395)
(0.778803,0.627268)
(0.686849,0.7268)
(0.983698,-0.179831)
(-0.670248,-0.742137)
(0.749665,0.661818)
(-0.8679,0.49674)
(-0.969254,-0.246064)
(-0.993621,0.112768)
(0.0338971,0.999425)
(0.467032,-0.88424)
(0.123995,0.992283)
(-0.957142,0.28962)
(-0.999745,0.0225983)
(-0.63602,0.771673)
(0.963444,0.267911)
(-0.957145,-0.289609)
(0.686848,-0.726801)
(0.995916,0.0902791)
(0.990819,-0.135193)
(0.0790286,-0.996872)
(-0.670239,0.742145)
(0.257028,-0.966404)
(0.974564,0.22411)
(0.806349,0.59144)
(0.995916,-0.0902844)
(-0.364344,-0.931264)
(0.213073,0.977036)
(-0.927091,-0.374837)
(-0.146378,-0.989229)
(-0.23508,-0.971976)
(-0.993618,-0.112793)
(0.618442,0.78583)
(-0.844569,-0.535447)
(0.618448,-0.785826)
(0.935343,-0.353743)
(0.582304,-0.812971)
(-0.889437,-0.457057)
(0.71897,0.695042)
(-0.997699,0.0678033)
(-0.44688,-0.894594)
(-0.406068,-0.913843)
(-0.997704,-0.0677201)
(0.544937,0.838477)
(-0.703088,-0.711103)
(0.856432,-0.516259)
(0.990825,0.135153)
(0.950364,-0.311141)
(-0.321851,-0.94679)
(-0.101519,0.994834)
(-0.563761,-0.825938)
(0.653279,-0.757117)
(0.778871,-0.627184)
(-0.0565213,-0.998401)
(-0.84456,0.53546)
(0.806325,-0.591473)
(0.25689,0.966441)
(-0.525841,0.850583)
(-0.235106,0.97197)
(0.935324,0.353791)
(-0.600569,-0.799573)
(0.935309,0.353831)
(-0.23519,0.971949)
(-0.525951,0.850515)
(0.25696,0.966422)
(0.806307,-0.591497)
(-0.844567,0.535449)
(-0.0564657,-0.998405)
(0.778779,-0.627298)
(0.653386,-0.757025)
(-0.56381,-0.825904)
(-0.101502,0.994835)
(-0.321942,-0.946759)
(0.950385,-0.311075)
(0.990826,0.135142)
(0.856449,-0.516231)
(-0.703121,-0.71107)
(0.545043,0.838408)
(-0.997702,-0.0677586)
(-0.406217,-0.913777)
(-0.447097,-0.894486)
(-0.997702,0.0677584)
(0.719078,0.694929)
(-0.889489,-0.456956)
(0.582445,-0.81287)
(0.935376,-0.353655)
(0.618268,-0.785967)
(-0.844505,-0.535547)
(0.618315,0.78593)
(-0.993637,-0.112632)
(-0.235314,-0.971919)
(-0.146513,-0.989209)
(-0.927035,-0.374976)
(0.212944,0.977064)
(-0.364523,-0.931195)
(0.99593,-0.0901285)
(0.806231,0.591601)
(0.974578,0.224048)
(0.25689,-0.966441)
(-0.670256,0.74213)
(0.0788505,-0.996886)
(0.990797,-0.135358)
(0.995914,0.090308)
(0.686789,-0.726856)
(-0.957147,-0.289602)
(0.963508,0.267681)
(-0.636198,0.771526)
(-0.999742,0.0227213)
(-0.957207,0.289405)
(0.124228,0.992254)
(0.46701,-0.884252)
(0.0335132,0.999438)
(-0.993676,0.112283)
(-0.969303,-0.245869)
(-0.868041,0.496493)
(0.749686,0.661794)
(-0.67037,-0.742027)
(0.98368,-0.179928)
(0.686745,0.726898)
(0.779053,0.626958)
(0.832375,-0.554212)
(-0.987503,-0.157599)
(0.974582,-0.224031)
(0.168436,0.985712)
(-0.321582,0.946882)
(0.300163,0.953888)
(0.878926,-0.476958)
(-0.969257,0.246051)
(0.426751,-0.904369)
(1,-0.000462303)
